trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version,event_detail,deal_ticket,position_id,modify_reason,modify_count,tx_authority,pack_dir_at_entry,active_model_pack_dir,runtime_reload_status,ea_version,log_schema_version
TS_00516,2023.03.15 13:35:00,US100,ENTRY,LONG,0.0300,12084.90000000,,11954.94000000,12344.83000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.069250,1,0.1.0,0.1.0,0.1.0,0.1,,1032,1032,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00516,2023.03.15 19:35:00,US100,EXIT,LONG,0.0300,12084.90000000,12107.55000000,11954.94000000,12344.83000000,0.68,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,5,0.069250,1,0.1.0,0.1.0,0.1.0,0.1,,1033,1032,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00517,2023.03.15 20:25:00,US100,ENTRY,LONG,0.0200,12138.30000000,,11979.39000000,12456.13000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.056634,0,0.1.0,0.1.0,0.1.0,0.1,,1034,1034,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00517,2023.03.16 03:25:00,US100,EXIT,LONG,0.0200,12138.30000000,12301.55000000,11979.39000000,12456.13000000,3.19,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,3,0.056634,0,0.1.0,0.1.0,0.1.0,0.1,,1035,1034,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00518,2023.03.16 07:05:00,US100,ENTRY,LONG,0.0800,12315.30000000,,12264.84000000,12416.23000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.178344,0,0.1.0,0.1.0,0.1.0,0.1,,1036,1036,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00518,2023.03.16 10:14:28,US100,EXIT,LONG,0.0800,12315.30000000,12264.80000000,12264.84000000,12416.23000000,-4.04,6.000000,12.000000,6.000000,12.000000,72,37,SL,3,0.178344,0,0.1.0,0.1.0,0.1.0,0.1,,1037,1036,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00519,2023.03.16 10:20:00,US100,ENTRY,LONG,0.0500,12279.55000000,,12207.85000000,12422.95000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.125523,1,0.1.0,0.1.0,0.1.0,0.1,,1038,1038,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00519,2023.03.16 16:15:44,US100,EXIT,LONG,0.0500,12279.55000000,12207.35000000,12207.85000000,12422.95000000,-3.61,6.000000,12.000000,6.000000,12.000000,72,71,SL,5,0.125523,1,0.1.0,0.1.0,0.1.0,0.1,,1039,1038,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00520,2023.03.16 16:40:00,US100,ENTRY,LONG,0.0200,12236.25000000,,12073.44000000,12561.88000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.055278,1,0.1.0,0.1.0,0.1.0,0.1,,1040,1040,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00520,2023.03.16 21:57:02,US100,EXIT,LONG,0.0200,12236.25000000,12561.90000000,12073.44000000,12561.88000000,6.51,6.000000,12.000000,6.000000,12.000000,72,63,TP,5,0.055278,1,0.1.0,0.1.0,0.1.0,0.1,,1041,1040,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
